Palabra;Fuente;Negativo;Neutra;Positiva;Puntuacion
a bordo;diccionario;0;1;0;0
abandona;diccionario;0;1;0;0
abandonado;diccionario;0;0;1;4
abandonar;diccionario;1;0;0;-2
abatido;diccionario;0;0;1;1
aborrece;diccionario;1;0;0;-1
aborrecer;diccionario;1;0;0;-5
aborrecible;diccionario;1;0;0;-2
aborrecido;diccionario;1;0;0;-1
abrazo;diccionario;1;0;0;-2
abrazos;diccionario;0;0;1;2
abriga;diccionario;0;0;1;4
absolver;diccionario;1;0;0;-4
absolviendo;diccionario;1;0;0;-2
absorbido;diccionario;0;1;0;0
absorto;diccionario;1;0;0;-3
absueltos;diccionario;1;0;0;-2
absuelve;diccionario;0;0;1;1
aburrido;diccionario;1;0;0;-3
aburrir;diccionario;0;0;1;4
abusado;diccionario;0;0;1;1
abusivo;diccionario;1;0;0;-4
abuso;diccionario;0;0;1;4
abusos;diccionario;1;0;0;-3
acaparador;diccionario;1;0;0;-4
acaparamiento;diccionario;0;0;1;1
accidental;diccionario;1;0;0;-1
accidentalmente;diccionario;1;0;0;-4
accidente;diccionario;0;0;1;4
accidentes;diccionario;0;0;1;3
acepta;diccionario;1;0;0;-3
aceptado;diccionario;0;0;1;5
aceptar;diccionario;0;0;1;5
aclamaciones;diccionario;0;0;1;2
aclara;diccionario;0;0;1;1
acosado;diccionario;1;0;0;-3
acoso;diccionario;1;0;0;-2
activo;diccionario;1;0;0;-2
acuchillado;diccionario;0;0;1;1
acuerdo;diccionario;1;0;0;-3
acusa;diccionario;0;1;0;0
acusación;diccionario;0;0;1;5
acusaciones;diccionario;0;0;1;5
acusado;diccionario;0;1;0;0
acusando;diccionario;0;0;1;1
acusar;diccionario;1;0;0;-4
adecuado;diccionario;0;0;1;1
admira;diccionario;0;0;1;3
admirar;diccionario;1;0;0;-2
admirativo;diccionario;0;0;1;5
admite;diccionario;0;0;1;2
admitir;diccionario;1;0;0;-4
adoctrina;diccionario;1;0;0;-3
adoctrinados;diccionario;1;0;0;-4
adoctrinar;diccionario;1;0;0;-5
adopta;diccionario;0;0;1;2
adoptar;diccionario;0;0;1;1
adora;diccionario;1;0;0;-2
adorable;diccionario;0;0;1;3
adorado;diccionario;1;0;0;-3
adorar;diccionario;0;0;1;1
advertencia;diccionario;0;1;0;0
advertencias;diccionario;0;0;1;4
advertir;diccionario;1;0;0;-4
advierte;diccionario;0;0;1;2
afable;diccionario;1;0;0;-3
afectado;diccionario;0;0;1;3
afecto;diccionario;0;0;1;2
aficionado;diccionario;0;0;1;4
afilado;diccionario;0;0;1;5
